品名,户型,价格,用户点评,品名链接,详情链接,户型链接,点评链接,看房团链接,物业类别,项目特色,建筑类别,装修状况,产权年限,环线位置,销售状态,楼盘优惠,开盘时间,交房时间,售楼地址,咨询电话,占地面积,建筑面积,容积率,绿化率,停车位,楼栋总数,总户数,物业公司,物业费
淮海名邸,3室2厅1厨2卫 169.00㎡(建面)|5室2厅1厨4卫 265.00㎡(建面)|3室2厅1厨2卫 176.00㎡(建面)|3室2厅1厨2卫 174.00㎡(建面)|3室2厅1厨2卫 174.00㎡(建面)|3室2厅1厨3卫 237.00㎡(建面)|3室2厅1厨3卫 241.00㎡(建面)|3室2厅1厨3卫 244.00㎡(建面)|3室2厅1厨3卫 250.00㎡(建面)|3室2厅1厨3卫 250.00㎡(建面)|4室2厅1厨4卫 263.00㎡(建面)|4室2厅1厨3卫 287.00㎡(建面)|,均价约130000元/平方米,4.4,http://huaihaimingdi.fang.com/,http://huaihaimingdi.fang.com/house/1211189658/housedetail.htm,http://huaihaimingdi.fang.com/photo/list_900_1211189658.htm,http://huaihaimingdi.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,花园洋房",豪华居住区,板楼多层小高层,非毛坯,70年花园洋房:70年,内环以内,在售,暂无,68弄（1#、2#、3#、5#、6#、7#）于2016年6月15日加推[开盘时间详情],2018年3月已交付68弄（1#、2#、3#、5#、6#、7#）,长宁区安顺路58弄（近淮海西路）,400-890-0000转815530,5774平方米,58148平方米,1.8,35%,共68个机动车位，车位比1:1.6。,10栋,115户,第一太平宝矿物业管理（上海）有限公司,12.80元/㎡·月
澜庭,2室2厅1厨1卫 77.94㎡(建面)|2室2厅1厨1卫 78.21㎡(建面)|3室2厅1厨1卫 91.25㎡(建面)|,待定,4.09,http://lanting021.fang.com/,http://lanting021.fang.com/house/1210125188/housedetail.htm,http://lanting021.fang.com/photo/list_900_1210125188.htm,http://lanting021.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,品牌地产,板楼高层,毛坯[2套装修案例],住宅:70年,外环以外,待售,暂无,预计2018年6月加推[开盘时间详情],预计2018年4月30日交房,金山区夏宁路679号,400-890-0000转856666,65000平方米,130000平方米,2,35%,本项目规划建设机动停车位1549个，其中地上停车位590个，地下停车位959个,7栋,1400户,高地物业,2.28元/㎡·月
卓越维港,3室2厅1厨2卫 90.00㎡(建面)|4室3厅1厨2卫 105.00㎡(建面)|3室2厅1厨2卫 87.00㎡(建面)|,待定,4.45,http://zhuoyueweigang021.fang.com/,http://zhuoyueweigang021.fang.com/house/1210125856/housedetail.htm,http://zhuoyueweigang021.fang.com/photo/list_900_1210125856.htm,http://zhuoyueweigang021.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"花园洋房,联排",品牌地产,板楼低层多层,"毛坯,非毛坯",花园洋房:70年联排:70年,外环以外,待售,暂无,待定[开盘时间详情],待定,闵行区银春路富岩路路口；临售地址：闵行区鹤庆路900号碧江广场4号楼125-126商铺,400-890-0000转842448,19577平方米,42445平方米,1.5,35%,267个停车位，地上5个，地下262个,18栋,163户,卓越物业管理有限公司,暂无资料
吉宝佘山御庭,4室5厅6厨2卫 295.00㎡(建面)|5室4厅6厨1卫 290.00㎡(建面)|5室5厅7厨1卫 304.00㎡(建面)|5室6厅7厨1卫 340.00㎡(建面)|6室6厅6厨1卫 347.00㎡(建面)|6室5厅7厨2卫 373.00㎡(建面)|6室3厅7厨1卫 271.00㎡(建面)|,约60000元/平方米起,3.9,http://sheshanyutingjb.fang.com/,http://sheshanyutingjb.fang.com/house/1210124962/housedetail.htm,http://sheshanyutingjb.fang.com/photo/list_900_1210124962.htm,http://sheshanyutingjb.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,品牌地产低密居所特色别墅,独栋,毛坯[4套装修案例],独栋:70年,外环以外,在售,暂无,2016年11月19日开盘1#等[开盘时间详情],预计2018年6月交付1#等,松江佘山镇外青松公路9211号（近佘北公路）,400-890-0000转834302,175000平方米,156000平方米,0.48,50.20%,每户配备地下车库,217栋,217户,暂无资料,7.80元/㎡·月
艾森公馆,3室2厅1厨1卫 85.00㎡(建面)|3室2厅1厨1卫 89.00㎡(建面)|3室2厅1厨2卫 99.00㎡(建面)|3室2厅1厨2卫 104.00㎡(建面)|3室2厅1厨2卫 114.00㎡(建面)|3室2厅1厨3卫 132.00㎡(建面)|3室2厅1厨3卫 132.00㎡(建面)|4室2厅1厨2卫 129.00㎡(建面)|,约26500元/平方米起,4.33,http://aisengongguan.fang.com/,http://aisengongguan.fang.com/house/1210126312/housedetail.htm,http://aisengongguan.fang.com/photo/list_900_1210126312.htm,http://aisengongguan.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,地铁沿线,板塔结合多层小高层高层,非毛坯,70年,外环以外,在售,暂无,2018年5月17日已开盘[开盘时间详情],计划于2019年6月30日前交付,上海市浦东新区临港新城云鹃路833弄（近水松路）,400-890-0000转846574,暂无资料,暂无资料,2,35%,169个,4栋,120户,暂无资料,3.70元/㎡·月
新城上坤樾山美墅,3室2厅1厨4卫 168.00㎡(建面)|4室2厅1厨4卫 151.00㎡(建面)|3室2厅1厨4卫 115.00㎡(建面)|4室2厅1厨3卫 119.00㎡(建面)|4室2厅1厨2卫 128.00㎡(建面)|4室2厅1厨2卫 129.00㎡(建面)|,均价约1140元/平方米,3.82,http://shangkunyueshanxc.fang.com/,http://shangkunyueshanxc.fang.com/house/1210124934/housedetail.htm,http://shangkunyueshanxc.fang.com/photo/list_900_1210124934.htm,http://shangkunyueshanxc.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,品牌地产地铁沿线低密居所,联排叠拼,毛坯[14套装修案例],联排:70年叠拼:70年,外环以外,在售,暂无,2017年4月15日推出1-58#等[开盘时间详情],预计2018年7月交房1-300#,松江洞塔路728弄（嘉松南路塘砖路交叉口、佘山站南约800米）,400-890-0000转834152,54426平方米,46262平方米,0.85,35%,暂无资料,300栋,360户,上坤物业管理有限公司,3.90元/㎡·月
路劲佘山院子,2室2厅1厨1卫 70.00㎡(建面)|3室2厅1厨1卫 88.00㎡(建面)|3室2厅1厨3卫 121.00㎡(建面)|3室2厅1厨3卫 142.00㎡(建面)|,均价约38000元/平方米,3.29,http://sheshanyuanzilj.fang.com/,http://sheshanyuanzilj.fang.com/house/1210125760/housedetail.htm,http://sheshanyuanzilj.fang.com/photo/list_900_1210125760.htm,http://sheshanyuanzilj.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,联排",品牌地产特色别墅,板楼低层高层,"毛坯,非毛坯",70年联排:70年,外环以外,在售,暂无,待定[开盘时间详情],预计2018年6月交付1期,松江崇南公路599弄（崇南公路鹤西街路口）,400-890-0000转840234,37336平方米,76369平方米,1.5,35%,624个停车位，地上69个，地下555个,24栋,615户,上海路劲物业服务有限公司,3.25元/㎡·月
虹桥融景,5室4厅2厨3卫 350.00㎡(建面)|3室3厅1厨4卫 190.48㎡(建面)|3室3厅1厨5卫 222.46㎡(建面)|,待定,4.53,http://hongqiaorongjing.fang.com/,http://hongqiaorongjing.fang.com/house/1211242360/housedetail.htm,http://hongqiaorongjing.fang.com/photo/list_900_1211242360.htm,http://hongqiaorongjing.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,联排",公园地产,板楼多层,暂无,70年联排:70年,外环以外,待售,暂无,二期开盘待定[开盘时间详情],11~13#等一期住宅已于2017年10月底交房,上海市青浦区沪青平公路1638号,400-890-0000转826558,162548平方米,208741平方米,1,35.94%,虹桥融景共有停车位981个，地上4个，地下977个。,84栋,111户,上海深和平物业管理有限公司　,4.50元/㎡·月
大学里,2室2厅1厨1卫 76.00㎡(建面)|3室2厅1厨1卫 88.11㎡(建面)|3室2厅1厨1卫 88.27㎡(建面)|3室2厅1厨2卫 115.00㎡(建面)|2室2厅1厨1卫 88.00㎡(建面)|3室2厅1厨1卫 98.00㎡(建面)|3室2厅1厨1卫 116.00㎡(建面)|3室2厅1厨2卫 120.00㎡(建面)|,待定,3.86,http://daxueli021.fang.com/,http://daxueli021.fang.com/house/1211155396/housedetail.htm,http://daxueli021.fang.com/photo/list_900_1211155396.htm,http://daxueli021.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,低总价,板楼高层,暂无,住宅:70年，办公:50年,外环以外,待售,暂无,2017年7月20日已开盘[开盘时间详情],19-24#预计2019年交房入住,上海市安亭镇曹安公路4801号（近绿苑路）,400-890-0000转807190,76331平方米,277289平方米,2.3,41.90%,共1860个地下停车位，车位配比1:2.43,24栋,1214户,上海科嘉物业管理有限公司,2.50元/㎡·月
海上风华,3室2厅1厨2卫 90.00㎡(建面)|3室2厅1厨3卫 90.00㎡(建面)|3室2厅1厨2卫 90.00㎡(建面)|3室2厅1厨2卫 120.00㎡(建面)|,待定,3.71,http://haishangfenghua.fang.com/,http://haishangfenghua.fang.com/house/1210126512/housedetail.htm,http://haishangfenghua.fang.com/photo/list_900_1210126512.htm,http://haishangfenghua.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"花园洋房,叠拼",暂无,板楼多层小高层,非毛坯,花园洋房:70年叠拼:70年,外环以外,待售,暂无,待定[开盘时间详情],预计2019年12月30日交房,临港新城铃兰路688弄,400-890-0000转862174,61380平方米,68857平方米,1.2,35%,709个,23栋,819户,上海永升物业管理有限公司,3.80元/㎡·月
佘山东紫园,6室3厅1厨5卫 630.00㎡(建面)|5室2厅1厨5卫 410.00㎡(建面)|5室2厅1厨5卫 412.00㎡(建面)|5室2厅1厨5卫 433.00㎡(建面)|5室2厅1厨5卫 486.00㎡(建面)|,约3500万元/套起,3.77,http://sheshandongziyuan.fang.com/,http://sheshandongziyuan.fang.com/house/1210472542/housedetail.htm,http://sheshandongziyuan.fang.com/photo/list_900_1210472542.htm,http://sheshandongziyuan.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,低密居所特色别墅,独栋,毛坯,独栋:70年,外环以外,在售,暂无,2013-08-18加推88弄房源[开盘时间详情],100#等2013年9月30日已交房,松江区佘山国家旅游度假区林湖路189弄91号,400-890-0000转654306,443786平方米,114757平方米,0.18,70%,停车库每户2个,200栋,200户,广东康景物业服务有限公司上海分公司,8.00元/㎡·月
合生东郊别墅,6室4厅2厨5卫 431.00㎡(建面)|6室3厅2厨5卫 492.00㎡(建面)|7室4厅2厨5卫 539.00㎡(建面)|7室4厅2厨4卫 654.00㎡(建面)|,约9500万元/套起,4.21,http://dongjiaobieshuhs.fang.com/,http://dongjiaobieshuhs.fang.com/house/1210597386/housedetail.htm,http://dongjiaobieshuhs.fang.com/photo/list_900_1210597386.htm,http://dongjiaobieshuhs.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,品牌地产现房特色别墅,独栋,毛坯,项目独栋:70年,中外环间,在售,暂无,919弄19#等已于2011-04-10开盘[开盘时间详情],2012年12月已交房,上海市浦东新区翠柏路919弄21号,400-890-0000转656064,157000平方米,62800平方米,0.25,50%,合生东郊别墅停车位共有148个，车位配比为1:2,74栋,74户,上海东湖物业管理公司,8.00元/㎡·月
复地御西郊,4室2厅1厨4卫 340.00㎡(建面)|3室2厅1厨3卫 250.00㎡(建面)|5室2厅1厨5卫 350.00㎡(建面)|6室3厅2厨6卫 480.00㎡(建面)|2室2厅1厨2卫 170.00㎡(建面)|3室2厅1厨2卫 220.00㎡(建面)|4室2厅1厨2卫 310.00㎡(建面)|4室2厅1厨4卫 310.00㎡(建面)|,均价约120000元/平方米,4.02,http://yuxijiaofd.fang.com/,http://yuxijiaofd.fang.com/house/1211055526/housedetail.htm,http://yuxijiaofd.fang.com/photo/list_900_1211055526.htm,http://yuxijiaofd.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,现房,板楼多层高层,非毛坯,70年,中外环间,在售,暂无,2015年12月12日已开盘...[开盘时间详情],2015年5月1日已交房,上海市长宁区金浜路188弄（近福泉路）,400-890-0000转661945,116822平方米,85000平方米,1.2,50%,复地御西郊停车位318个,3栋,272户,上海樱花置业长宁分公司,13.80元/㎡·月
万科公园大道,4室2厅1厨2卫 126.46㎡(建面)|3室2厅1厨2卫 95.00㎡(建面)|1室2厅1厨1卫 67.49㎡(建面)|2室2厅1厨1卫 77.00㎡(建面)|2室2厅1厨1卫 82.22㎡(建面)|2室2厅1厨1卫 85.94㎡(建面)|3室2厅1厨1卫 98.00㎡(建面)|3室2厅1厨2卫 101.00㎡(建面)|4室2厅1厨2卫 126.00㎡(建面)|,待定,4.27,http://gongyuandadaowk021.fang.com/,http://gongyuandadaowk021.fang.com/house/1211198900/housedetail.htm,http://gongyuandadaowk021.fang.com/photo/list_900_1211198900.htm,http://gongyuandadaowk021.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,叠拼",品牌地产,板楼低层多层高层,非毛坯,70年叠拼:70年,外环以外,待售,暂无,预计2018年6月加推[开盘时间详情],预计2018年5月31日交房,上海市闵行区银春路2150号,400-890-0000转818987,81044平方米,230540平方米,2.4,35%,万科公园大道共有1423个车位,24栋,1976户,上海万科物业服务有限公司,3.90元/㎡·月
碧云壹零,4室2厅1厨3卫 182.00㎡(建面)|4室2厅1厨4卫 228.00㎡(建面)|5室2厅1厨4卫 245.00㎡(建面)|4室2厅1厨4卫 240.00㎡(建面)|4室2厅1厨4卫 243.00㎡(建面)|4室2厅1厨4卫 253.00㎡(建面)|5室2厅1厨5卫 240.00㎡(建面)|3室2厅1厨2卫 141.00㎡(建面)|,均价约27000元/平方米,3.62,http://biyunyiling.fang.com/,http://biyunyiling.fang.com/house/1210893964/housedetail.htm,http://biyunyiling.fang.com/photo/list_900_1210893964.htm,http://biyunyiling.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"花园洋房,联排,叠拼",暂无,板楼低层多层小高层高层,毛坯,花园洋房:70年联排:70年叠拼:70年,外环以外,在售,暂无,2017年9月6日二期6-9#等已开盘[开盘时间详情],预计2018年11月30日二期交房,浦东新区临港新城沪城环路与竹柏路路口,400-890-0000转834047,142998平方米,207263平方米,1,35%,共有车位857个，其中地上车位数19个、地下车位数838个，车位比1：1.42,69栋,605户,上海上房物业管理有限公司,2.98元/㎡·月
天和尚上海,2室2厅1厨1卫 77.00㎡(建面)|3室2厅1厨1卫 88.00㎡(建面)|2室2厅1厨1卫 73.00㎡(建面)|3室2厅1厨1卫 86.00㎡(建面)|3室2厅1厨1卫 86.00㎡(建面)|3室2厅1厨1卫 96.00㎡(建面)|,待定,3.62,http://shangshanghaith.fang.com/,http://shangshanghaith.fang.com/house/1211279088/housedetail.htm,http://shangshanghaith.fang.com/photo/list_900_1211279088.htm,http://shangshanghaith.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,小户型,板楼高层,"毛坯,公共部分简单装",70年,外环以外,待售,暂无,5-8#已于2016年5月20日开盘[开盘时间详情],2018年3月31日1-8#交房,上海市奉贤区大叶公路6288弄（泰西路路口）,400-890-0000转830911,275878平方米,280000平方米,1,40%,天和尚上海共有1117个停车位,9栋,1496户,长城物业,2.85元/㎡·月
凤凰城,3室2厅1厨1卫 104.00㎡(建面)|3室2厅1厨2卫 139.00㎡(建面)|2室2厅1厨1卫 87.00㎡(建面)|3室2厅1厨1卫 108.00㎡(建面)|3室2厅1厨2卫 141.00㎡(建面)|4室2厅1厨2卫 180.00㎡(建面)|5室2厅1厨3卫 240.00㎡(建面)|,均价约50000元/平方米,3.84,http://fenghuangjingyuan.fang.com/,http://fenghuangjingyuan.fang.com/house/1210613308/housedetail.htm,http://fenghuangjingyuan.fang.com/photo/list_900_1210613308.htm,http://fenghuangjingyuan.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,品牌地产地铁沿线,板楼高层,毛坯,70年,外环以外,在售,暂无,2016年6月5日已加推[开盘时间详情],2017年9月30日二期17#、18#等房源已交房,闵行区景谷中路30号,400-890-0000转659401,230000平方米,320000平方米,1.68,38%,凤凰城停车位共有1610个，车位比约0.9:1,44栋,1640户,上海莘旺物业管理有限公司,2.80元/㎡·月
